000000000000ab0c,audit_add_watch
00000000000037c8,audit_can_write
000000000000baf0,audit_name_to_fstype
0000000000004b6c,audit_send
0000000000004420,audit_open
0000000000005730,audit_set_loginuid_immutable
0000000000003bd0,audit_setloginuid
00000000000050e8,audit_set_enabled
0000000000003608,audit_rule_create_data
0000000000003660,audit_number_to_errmsg
000000000000a56c,audit_detect_machine
000000000000d2c0,audit_log_user_comm_message
000000000000a890,audit_rule_syscallbyname_data
000000000000a080,audit_name_to_machine
0000000000003900,audit_msg
00000000000043e0,get_auditfail_action
000000000000a630,audit_machine_to_elf
0000000000009a30,audit_name_to_msg_type
0000000000005cf0,audit_name_to_field
0000000000009fc8,audit_msg_type_to_name
0000000000003744,audit_can_control
000000000000a760,audit_elf_to_machine
0000000000008dc0,audit_syscall_to_name
0000000000004c60,audit_is_enabled
00000000000053c8,audit_set_rate_limit
00000000000054a0,audit_set_backlog_limit
000000000000d5e0,audit_log_acct_message
000000000000ad60,audit_determine_machine
0000000000008fb0,audit_name_to_flag
000000000000a9ac,audit_add_watch_dir
000000000000b560,audit_name_to_ftype
0000000000008c4c,audit_uringop_to_name
0000000000005ae4,audit_make_equivalent
000000000000bfe0,audit_rule_fieldpair_data
00000000000044c8,audit_close
000000000000d940,audit_log_user_avc_message
000000000000b4f0,audit_errno_to_name
000000000000cf48,audit_encode_nv_string
0000000000005284,audit_set_pid
00000000000058a0,audit_request_signal_info
000000000000590c,audit_add_rule_data
0000000000005820,audit_request_rules_list_data
000000000000e08c,audit_log_user_command
00000000000047c0,__audit_send
000000000000db88,audit_log_semanage_message
00000000000033cc,audit_getloginuid
000000000000d0a0,audit_log_user_message
00000000000066a0,audit_field_to_name
000000000000ba4c,audit_ftype_to_name
000000000000cdb0,audit_encode_value
0000000000003b28,audit_update_watch_perms
000000000000ccac,audit_fstype_to_name
0000000000006c2c,audit_name_to_syscall
0000000000004be0,audit_request_status
000000000000384c,audit_can_read
00000000000031a4,audit_format_signal_info
0000000000005660,audit_set_feature
000000000000afec,audit_name_to_errno
000000000000cd4c,audit_value_needs_encoding
00000000000035e8,audit_rule_init_data
0000000000004aa0,audit_reset_backlog_wait_time_actual
000000000000ab30,_audit_parse_syscall
0000000000004fa0,audit_get_features
00000000000099e0,audit_action_to_name
0000000000005004,audit_reset_lost
0000000000003640,audit_rule_free_data
00000000000094f0,audit_name_to_action
00000000000051b0,audit_set_failure
0000000000008ca8,audit_rule_io_uringbyname_data
0000000000005760,audit_request_features
0000000000005580,audit_set_backlog_wait_time
00000000000061e0,audit_rule_interfield_comp_data
000000000000a5e0,audit_machine_to_name
0000000000006744,audit_name_to_uringop
0000000000005a70,audit_trim_subtrees
00000000000044f0,audit_get_reply
000000000000af48,audit_operator_to_symbol
00000000000094a0,audit_flag_to_name
00000000000034e0,audit_get_session
00000000000038d0,set_aumessage_mode
00000000000059c0,audit_delete_rule_data
