0000000000077dc0,fgetc@@GLIBC_2.17
0000000000082520,pthread_attr_setscope@@GLIBC_2.17
00000000000821a0,pthread_attr_getstacksize@GLIBC_2.17
0000000000099d60,envz_strip@@GLIBC_2.17
00000000000821a0,pthread_attr_getstacksize@@GLIBC_2.34
0000000000100fa0,iruserok_af@@GLIBC_2.17
0000000000128200,_nss_files_getpwent_r@@GLIBC_PRIVATE
000000000008bd40,pthread_setcancelstate@@GLIBC_2.17
000000000003cd20,stdc_first_leading_one_ul@@GLIBC_2.39
00000000000e46c0,cfmakeraw@@GLIBC_2.17
00000000001066e0,ns_name_pack@GLIBC_2.17
00000000001066e0,ns_name_pack@@GLIBC_2.34
000000000007f330,_IO_iter_begin@@GLIBC_2.17
00000000000c7220,globfree@@GLIBC_2.17
000000000007f700,_IO_str_init_readonly@@GLIBC_2.17
00000000000fbb80,__vswprintf_chk@@GLIBC_2.17
0000000000089a60,pthread_mutexattr_getprotocol@@GLIBC_2.34
0000000000089a60,pthread_mutexattr_getprotocol@GLIBC_2.17
00000000000b1220,wmemmove@@GLIBC_2.17
00000000001268ac,_nss_files_gethostbyname4_r@@GLIBC_PRIVATE
000000000008a840,__pthread_rwlock_rdlock@GLIBC_2.17
00000000000f0cc0,__cmsg_nxthdr@@GLIBC_2.17
000000000011c620,gethostbyname_r@@GLIBC_2.17
00000000001368a0,xdecrypt@GLIBC_2.17
0000000000126480,_nss_files_gethostent_r@@GLIBC_PRIVATE
00000000000e2e00,statvfs64@@GLIBC_2.17
000000000003cd60,stdc_first_leading_one_us@@GLIBC_2.39
0000000000127da0,_nss_files_setprotoent@@GLIBC_PRIVATE
000000000012c2c0,svcraw_create@GLIBC_2.17
000000000011f900,getprotoent@@GLIBC_2.17
0000000000074190,_IO_free_wbackup_area@@GLIBC_2.17
0000000000037ae0,sigignore@@GLIBC_2.17
0000000000090f80,mq_unlink@GLIBC_2.17
000000000008b300,__pthread_rwlock_trywrlock@GLIBC_2.17
0000000000090f80,mq_unlink@@GLIBC_2.34
00000000000ef0c0,open_tree@@GLIBC_2.36
0000000000131be8,clnt_spcreateerror@GLIBC_2.17
0000000000134460,pmap_getport@GLIBC_2.17
00000000000deb80,fstatvfs@@GLIBC_2.17
00000000000718c0,vsscanf@@GLIBC_2.17
0000000000099e80,memccpy@@GLIBC_2.17
000000000002e8a0,nl_langinfo@@GLIBC_2.17
00000000000ebc68,syslog@@GLIBC_2.17
0000000000090280,lio_listio64@GLIBC_2.17
00000000000fbf00,__wcstombs_chk@@GLIBC_2.17
0000000000107460,__res_iclose@@GLIBC_PRIVATE
0000000000034ce0,catopen@@GLIBC_2.17
000000000010ca04,__res_context_send@@GLIBC_PRIVATE
0000000000090280,lio_listio64@@GLIBC_2.34
000000000006e7c0,fgets@@GLIBC_2.17
000000000007dd80,_IO_default_xsputn@@GLIBC_2.17
0000000000128988,_nss_files_getservbyname_r@@GLIBC_PRIVATE
00000000000361c0,finitef@@GLIBC_2.17
0000000000085aa0,pthread_exit@@GLIBC_2.17
0000000000124ca0,_nss_files_setaliasent@@GLIBC_PRIVATE
00000000000a32e0,c32rtomb@@GLIBC_2.17
00000000001374e4,xdr_enum@GLIBC_2.17
00000000001305e0,svcunixfd_create@GLIBC_2.17
00000000000a74c0,wcstof64@@GLIBC_2.27
0000000000112320,__nss_files_data_open@@GLIBC_PRIVATE
00000000000520a0,tmpfile@@GLIBC_2.17
000000000007f4c0,_IO_list_resetlock@@GLIBC_2.17
0000000000134180,netname2host@GLIBC_2.17
00000000000824e0,pthread_attr_setschedpolicy@@GLIBC_2.17
000000000009cb00,strcpy@@GLIBC_2.17
00000000000eb3c0,sync@@GLIBC_2.17
00000000000c7380,nanosleep@@GLIBC_2.17
00000000000e8b40,lremovexattr@@GLIBC_2.17
0000000000085a00,pthread_detach@GLIBC_2.17
00000000000c41c0,__getpid@@GLIBC_2.17
0000000000085a00,pthread_detach@@GLIBC_2.34
00000000000d6620,regfree@@GLIBC_2.17
00000000000e6c00,gethostname@@GLIBC_2.17
