0000000000003850,capng_print_caps_numeric
0000000000001b20,capng_clear
0000000000001c30,capng_fill
0000000000001e14,capng_set_rootid
0000000000003d20,capng_capability_to_name
0000000000003510,capng_change_id
0000000000002a20,capng_have_capabilities
0000000000003244,capng_apply
0000000000002ff4,capng_have_capability
0000000000003c30,capng_restore_state
0000000000003bd4,capng_save_state
0000000000002380,capng_update
0000000000001d64,capng_setpid
0000000000002150,capng_get_caps_fd
0000000000002990,capng_lock
0000000000001de0,capng_get_rootid
0000000000002d04,capng_apply_caps_fd
0000000000003ca0,capng_name_to_capability
0000000000002f04,capng_have_permitted_capabilities
0000000000001ea4,capng_get_caps_process
0000000000002830,capng_updatev
0000000000003df4,capng_print_caps_text
