00000000000170e0,gss_inquire_context@@gssapi_krb5_2_MIT
0000000000017d90,gss_acquire_cred@@gssapi_krb5_2_MIT
0000000000017354,gss_inquire_cred_by_oid@@gssapi_krb5_2_MIT
0000000000021e10,gss_verify@@gssapi_krb5_2_MIT
0000000000014c44,gss_add_cred_from@@gssapi_krb5_2_MIT
0000000000033070,gss_krb5_import_cred@@gssapi_krb5_2_MIT
000000000001ff00,gss_str_to_oid@@gssapi_krb5_2_MIT
0000000000021e30,gss_release_iov_buffer@@gssapi_krb5_2_MIT
00000000000178a0,gss_map_name_to_any@@gssapi_krb5_2_MIT
00000000000175d0,gss_inquire_name@@gssapi_krb5_2_MIT
000000000002ea80,gss_krb5_free_lucid_sec_context@@gssapi_krb5_2_MIT
0000000000011670,gss_release_buffer_set@@gssapi_krb5_2_MIT
0000000000017dc4,gss_add_cred_with_password@@gssapi_krb5_2_MIT
000000000001b130,gss_wrap_size_limit@@gssapi_krb5_2_MIT
000000000002e320,gss_krb5int_unseal_token_v3@@gssapi_krb5_2_MIT
0000000000019be0,gss_process_context_token@@gssapi_krb5_2_MIT
0000000000020420,gss_unwrap@@gssapi_krb5_2_MIT
0000000000020af4,gss_wrap@@gssapi_krb5_2_MIT
00000000000185f0,gss_add_cred_impersonate_name@@gssapi_krb5_2_MIT
000000000001aab0,gssspi_mech_invoke@@gssapi_krb5_2_MIT
000000000001a200,gss_unwrap_iov@@gssapi_krb5_2_MIT
00000000000191c0,gss_indicate_mechs@@gssapi_krb5_2_MIT
0000000000017790,gss_inquire_sec_context_by_oid@@gssapi_krb5_2_MIT
000000000001f9c0,gss_store_cred_into@@gssapi_krb5_2_MIT
00000000000210e0,gss_inquire_attrs_for_mech@@gssapi_krb5_2_MIT
0000000000016de0,gss_inquire_cred_by_mech@@gssapi_krb5_2_MIT
0000000000013020,gss_delete_sec_context@@gssapi_krb5_2_MIT
0000000000032ee0,gsskrb5_extract_authtime_from_sec_context@@gssapi_krb5_2_MIT
000000000002eb00,krb5_gss_register_acceptor_identity@@gssapi_krb5_2_MIT
00000000000161e0,gss_import_name@@gssapi_krb5_2_MIT
000000000001fcf0,gss_test_oid_set_member@@gssapi_krb5_2_MIT
