0000000000001834,request_key@@KEYUTILS_0.3
0000000000001fc0,keyctl_pkey_query@@KEYUTILS_1.6
0000000000001ad4,keyctl_read@@KEYUTILS_0.3
0000000000001b80,keyctl_set_timeout@@KEYUTILS_1.0
0000000000002840,keyctl_dh_compute_alloc@@KEYUTILS_1.6
0000000000001ff0,keyctl_pkey_encrypt@@KEYUTILS_1.6
00000000000028f0,recursive_key_scan@@KEYUTILS_1.4
0000000000001b34,keyctl_negate@@KEYUTILS_0.3
0000000000001bc4,keyctl_get_security@@KEYUTILS_1.3
00000000000024e0,keyctl_read_alloc@@KEYUTILS_0.3
0000000000001f94,keyctl_restrict_keyring
0000000000001940,keyctl_join_session_keyring@@KEYUTILS_0.3
00000000000019b0,keyctl_chown@@KEYUTILS_0.3
0000000000001ba4,keyctl_assume_authority@@KEYUTILS_1.0
0000000000001c10,keyctl_reject@@KEYUTILS_1.4
0000000000001870,keyctl@@KEYUTILS_0.3
0000000000001ca0,keyctl_instantiate_iov@@KEYUTILS_1.4
00000000000017f0,add_key@@KEYUTILS_0.3
0000000000001a74,keyctl_unlink@@KEYUTILS_0.3
0000000000001bf0,keyctl_session_to_parent@@KEYUTILS_1.3
0000000000002780,keyctl_get_security_alloc@@KEYUTILS_1.3
0000000000001e44,keyctl_get_persistent@@KEYUTILS_1.5
0000000000001aa0,keyctl_search@@KEYUTILS_0.3
0000000000002080,keyctl_pkey_decrypt@@KEYUTILS_1.6
0000000000001e70,keyctl_dh_compute@@KEYUTILS_1.6
0000000000001a30,keyctl_clear@@KEYUTILS_0.3
0000000000002264,keyctl_capabilities@@KEYUTILS_1.9
0000000000001990,keyctl_revoke@@KEYUTILS_0.3
0000000000001b00,keyctl_instantiate@@KEYUTILS_0.3
0000000000001ef4,keyctl_dh_compute_kdf@@KEYUTILS_1.7
0000000000001b60,keyctl_set_reqkey_keyring@@KEYUTILS_0.3
00000000000023f4,keyctl_watch_key@@KEYUTILS_1.10
0000000000002920,recursive_session_key_scan@@KEYUTILS_1.4
0000000000001910,keyctl_get_keyring_ID@@KEYUTILS_0.3
0000000000001964,keyctl_update@@KEYUTILS_0.3
0000000000002980,find_key_by_type_and_desc@@KEYUTILS_1.5
0000000000002230,keyctl_move@@KEYUTILS_1.9
00000000000021a0,keyctl_pkey_verify@@KEYUTILS_1.6
0000000000002420,keyctl_describe_alloc@@KEYUTILS_0.3
00000000000019e0,keyctl_setperm@@KEYUTILS_0.3
0000000000001e24,keyctl_invalidate@@KEYUTILS_1.4
0000000000002110,keyctl_pkey_sign@@KEYUTILS_1.6
0000000000001a04,keyctl_describe@@KEYUTILS_0.3
0000000000001a50,keyctl_link@@KEYUTILS_0.3
