00000000000107a0,pcre2_set_max_pattern_length_8
0000000000010540,pcre2_general_context_copy_8
000000000005a02c,pcre2_substring_copy_byname_8
0000000000010950,pcre2_set_recursion_limit_8
0000000000010760,pcre2_set_bsr_8
00000000000108e4,pcre2_set_match_limit_8
00000000000473a8,pcre2_match_data_free_8
00000000000107c4,pcre2_set_newline_8
0000000000010630,pcre2_convert_context_copy_8
000000000000616c,pcre2_code_copy_8
0000000000059bc8,pcre2_substring_get_bynumber_8
0000000000046f40,pcre2_jit_stack_assign_8
0000000000059e70,pcre2_substring_list_free_8
000000000001040c,pcre2_compile_context_create_8
0000000000010968,pcre2_set_recursion_memory_management_8
0000000000059af0,pcre2_substring_copy_bynumber_8
0000000000046d2c,pcre2_jit_free_unused_memory_8
00000000000595e0,pcre2_serialize_get_number_of_codes_8
00000000000103a0,pcre2_general_context_create_8
000000000005bc00,pcre2_substitute_8
000000000001086c,pcre2_set_callout_8
0000000000010800,pcre2_set_parens_nest_limit_8
00000000000109c0,pcre2_set_glob_escape_8
00000000000104e8,pcre2_convert_context_create_8
0000000000047460,pcre2_get_startchar_8
0000000000047320,pcre2_match_data_create_8
00000000000106a0,pcre2_compile_context_free_8
0000000000059a00,pcre2_substring_length_bynumber_8
000000000000fe00,pcre2_config_8
000000000005a340,pcre2_substring_number_from_name_8
000000000001092c,pcre2_set_offset_limit_8
00000000000106d0,pcre2_match_context_free_8
0000000000047440,pcre2_get_ovector_count_8
0000000000012c60,pcre2_converted_pattern_free_8
0000000000046f60,pcre2_jit_stack_free_8
000000000000b3a0,pcre2_compile_8
0000000000047480,pcre2_get_match_data_size_8
0000000000010908,pcre2_set_depth_limit_8
0000000000046a40,pcre2_jit_compile_8
0000000000010824,pcre2_set_compile_extra_options_8
00000000000108c0,pcre2_set_heap_limit_8
0000000000010984,pcre2_set_glob_separator_8
000000000005a140,pcre2_substring_get_byname_8
0000000000059cc0,pcre2_substring_list_get_8
0000000000047408,pcre2_get_mark_8
0000000000010588,pcre2_compile_context_copy_8
0000000000059144,pcre2_serialize_encode_8
00000000000599c0,pcre2_substring_free_8
00000000000061f0,pcre2_code_copy_with_tables_8
0000000000012ca0,pcre2_get_error_message_8
0000000000047380,pcre2_match_data_create_from_pattern_8
00000000000105e0,pcre2_match_context_copy_8
0000000000010480,pcre2_match_context_create_8
000000000005a244,pcre2_substring_length_byname_8
00000000000485c8,pcre2_pattern_info_8
0000000000059360,pcre2_serialize_decode_8
0000000000010890,pcre2_set_substitute_callout_8
0000000000047424,pcre2_get_ovector_pointer_8
0000000000046fc0,pcre2_maketables_8
0000000000010a20,pcre2_pattern_convert_8
0000000000010670,pcre2_general_context_free_8
000000000005964c,pcre2_serialize_free_8
0000000000018d00,pcre2_dfa_match_8
0000000000010700,pcre2_convert_context_free_8
0000000000046b90,pcre2_jit_match_8
0000000000059ea4,pcre2_substring_nametable_scan_8
0000000000010848,pcre2_set_compile_recursion_guard_8
0000000000010730,pcre2_set_character_tables_8
0000000000046de0,pcre2_jit_stack_create_8
00000000000062b0,pcre2_code_free_8
000000000005a708,pcre2_match_8
0000000000048904,pcre2_callout_enumerate_8
00000000000472e0,pcre2_maketables_free_8
