0000000000004d20,ns_msg_getflag@@GLIBC_2.17
0000000000008e00,__p_rcode@@GLIBC_2.17
0000000000007740,__res_close@@GLIBC_2.17
00000000000097a0,__p_secstodate@GLIBC_2.17
00000000000099e0,__res_isourserver@@GLIBC_2.17
0000000000006fe4,ns_sprintrr@@GLIBC_2.17
00000000000076c0,__putlong@@GLIBC_2.17
0000000000009b70,__res_queriesmatch@@GLIBC_2.17
0000000000007220,ns_subdomain@@GLIBC_2.17
0000000000004620,inet_neta@@GLIBC_2.17
0000000000008d80,__p_time@@GLIBC_2.17
0000000000003b28,res_gethostbyaddr@GLIBC_2.17
0000000000009700,__dn_count_labels@@GLIBC_2.17
0000000000007348,ns_format_ttl@@GLIBC_2.17
0000000000004cc0,ns_get32@@GLIBC_2.17
0000000000003ea8,res_gethostbyname2@GLIBC_2.17
0000000000003fa4,res_send_setrhook@GLIBC_2.17
0000000000004cc0,__ns_get32@@GLIBC_PRIVATE
0000000000008720,__p_cdname@@GLIBC_2.17
0000000000009b60,__res_nameinquery@@GLIBC_2.17
0000000000009288,__loc_ntoa@@GLIBC_2.17
0000000000004f80,ns_parserr@@GLIBC_2.17
0000000000004740,ns_datetosecs@@GLIBC_2.17
00000000000026c0,__b64_ntop@@GLIBC_2.17
0000000000008b00,__p_option@@GLIBC_2.17
0000000000009940,__hostalias@@GLIBC_2.17
0000000000007720,_getshort@@GLIBC_2.17
0000000000004ce0,ns_put16@@GLIBC_2.17
0000000000007fe0,__fp_nquery@@GLIBC_2.17
0000000000003fe0,inet_net_ntop@@GLIBC_2.17
0000000000002dc0,_gethtbyaddr@GLIBC_2.17
0000000000004e30,ns_initparse@@GLIBC_2.17
00000000000087e0,__p_fqname@@GLIBC_2.17
0000000000007700,_getlong@@GLIBC_2.17
0000000000008cd0,__fp_resstat@@GLIBC_2.17
0000000000002a60,_gethtent@GLIBC_2.17
0000000000004c50,ns_name_rollback@@GLIBC_2.17
0000000000008664,__p_cdnname@@GLIBC_2.17
000000000000862c,__fp_query@@GLIBC_2.17
0000000000009b40,ns_makecanon@@GLIBC_2.17
0000000000008740,__p_fqnname@@GLIBC_2.17
0000000000003f80,res_send_setqhook@GLIBC_2.17
0000000000008a80,__p_class@@GLIBC_2.17
0000000000003f10,res_gethostbyname@GLIBC_2.17
00000000000098a0,__res_hostalias@@GLIBC_2.17
0000000000008870,__sym_ston@@GLIBC_2.17
0000000000002800,__b64_pton@@GLIBC_2.17
0000000000008980,__sym_ntop@@GLIBC_2.17
00000000000088ec,__sym_ntos@@GLIBC_2.17
0000000000002cb0,_gethtbyname2@GLIBC_2.17
00000000000041e0,inet_net_pton@@GLIBC_2.17
0000000000004ca0,ns_get16@@GLIBC_2.17
00000000000076e0,__putshort@@GLIBC_2.17
0000000000008e80,__loc_aton@@GLIBC_2.17
0000000000004ca0,__ns_get16@@GLIBC_PRIVATE
0000000000007060,ns_samedomain@@GLIBC_2.17
0000000000004d00,ns_put32@@GLIBC_2.17
0000000000007560,ns_parse_ttl@@GLIBC_2.17
0000000000004d60,ns_skiprr@@GLIBC_2.17
0000000000005730,ns_sprintrrf@@GLIBC_2.17
0000000000009b50,ns_samename@@GLIBC_2.17
0000000000002da0,_gethtbyname@GLIBC_2.17
0000000000008a10,__p_type@@GLIBC_2.17
0000000000008644,__p_query@@GLIBC_2.17
0000000000002a00,_sethtent@GLIBC_2.17
0000000000004b20,ns_name_ntol@@GLIBC_2.17
