0000000000017440,getpidprevcon_raw@@LIBSELINUX_3.5
000000000000a880,context_str@@LIBSELINUX_1.0
000000000000cba0,selabel_hash_all_partial_matches@@LIBSELINUX_1.0
0000000000013b00,lsetfilecon_raw@@LIBSELINUX_1.0
000000000000cc80,selabel_close@@LIBSELINUX_1.0
000000000001f910,security_av_perm_to_string@@LIBSELINUX_1.0
000000000001974c,selinux_init_load_policy@@LIBSELINUX_1.0
000000000000cc20,selabel_digest@@LIBSELINUX_1.0
000000000000ac60,security_compute_av_flags_raw@@LIBSELINUX_1.0
000000000001f624,mode_to_security_class@@LIBSELINUX_1.0
0000000000017350,getkeycreatecon_raw@@LIBSELINUX_1.0
000000000000eba0,selabel_lookup_best_match@@LIBSELINUX_1.0
000000000000b520,fgetfilecon_raw@@LIBSELINUX_1.0
0000000000016280,matchpathcon_checkmatches@@LIBSELINUX_1.0
000000000000a3ac,security_compute_user_raw@@LIBSELINUX_1.0
0000000000017a48,selinux_default_type_path@@LIBSELINUX_1.0
0000000000019100,getcon@@LIBSELINUX_1.0
000000000001ea28,selinux_trans_to_raw_context@@LIBSELINUX_1.0
00000000000164a4,selinux_mkload_policy@@LIBSELINUX_1.0
0000000000013a80,selinux_reset_config@@LIBSELINUX_1.0
000000000000de00,get_ordered_context_list@@LIBSELINUX_1.0
000000000001fec0,security_validatetrans@@LIBSELINUX_1.0
000000000001afc0,selinux_check_securetty_context@@LIBSELINUX_1.0
0000000000008030,avc_av_stats@@LIBSELINUX_1.0
00000000000173a0,setkeycreatecon_raw@@LIBSELINUX_1.0
000000000000cfc0,avc_context_to_sid@@LIBSELINUX_1.0
000000000000b800,get_default_type@@LIBSELINUX_1.0
000000000001fcec,security_validatetrans_raw@@LIBSELINUX_1.0
000000000000c930,selabel_open@@LIBSELINUX_1.0
000000000000eea4,avc_audit@@LIBSELINUX_1.0
0000000000018600,selinux_file_context_local_path@@LIBSELINUX_1.0
0000000000018450,selinux_colors_path@@LIBSELINUX_1.0
00000000000095a0,security_canonicalize_context_raw@@LIBSELINUX_1.0
0000000000017cc0,selinux_default_context_path@@LIBSELINUX_1.0
00000000000097a0,is_selinux_enabled@@LIBSELINUX_1.0
000000000000c380,getfilecon_raw@@LIBSELINUX_1.0
00000000000160a0,matchpathcon_fini@@LIBSELINUX_1.0
00000000000171f0,setexeccon_raw@@LIBSELINUX_1.0
0000000000007e6c,avc_sid_stats@@LIBSELINUX_1.0
0000000000013cb0,set_matchpathcon_printf@@LIBSELINUX_1.0
0000000000018c00,selinux_restorecon_set_exclude_list@@LIBSELINUX_1.0
000000000000bc00,security_getenforce@@LIBSELINUX_1.0
0000000000018570,selinux_file_context_homedir_path@@LIBSELINUX_1.0
000000000000c7c8,is_context_customizable@@LIBSELINUX_1.0
000000000000e584,get_ordered_context_list_with_level@@LIBSELINUX_1.0
000000000000aa6c,context_role_get@@LIBSELINUX_1.0
00000000000180f0,selinux_contexts_path@@LIBSELINUX_1.0
000000000000aa8c,context_type_set@@LIBSELINUX_1.0
00000000000182a0,selinux_users_path@@LIBSELINUX_1.0
0000000000007e24,sidput@@LIBSELINUX_1.0
0000000000018e40,selinux_restorecon_get_skipped_errors@@LIBSELINUX_3.4
0000000000008840,avc_netlink_release_fd@@LIBSELINUX_1.0
00000000000086f0,avc_netlink_close@@LIBSELINUX_1.0
000000000000b9d0,security_get_initial_context_raw@@LIBSELINUX_1.0
000000000000ec0c,selabel_lookup_best_match_raw@@LIBSELINUX_1.0
000000000000aa2c,context_user_get@@LIBSELINUX_1.0
0000000000012aa0,selinux_media_context_path@@LIBSELINUX_1.0
0000000000018f20,matchmediacon@@LIBSELINUX_1.0
000000000001cea0,selinux_restorecon@@LIBSELINUX_1.0
000000000000c4e4,getpeercon_raw@@LIBSELINUX_1.0
