0000000000006fd4,sudo_conf_plugins_v1
0000000000014490,sudo_debug_exit_uint_v1
0000000000011120,sudo_setgroups_v1
0000000000014440,sudo_debug_exit_int_v1
0000000000006da0,sudo_pow2_roundup_v1
0000000000018f60,sudo_arc4random
0000000000006de0,sudo_pow2_roundup_v2
0000000000006850,sudo_lbuf_error_v1
0000000000007990,sudo_dso_findsym_v1
0000000000013960,sudo_conf_debug_files_v1
00000000000076f0,sudo_debug_update_fd_v1
0000000000012694,sudo_strtomode_v1
0000000000006d80,initprogname
0000000000016410,sudo_isatty_v1
000000000000df30,sudo_json_add_value_as_object_v1
00000000000124e4,sudo_strtomode_v2
000000000000a070,sudo_ev_alloc_v1
0000000000010490,sudo_rcstr_delref
0000000000009f10,sudo_ev_alloc_v2
0000000000018f30,sudo_mkstemps
0000000000007940,sudo_dso_unload_v1
0000000000006630,sudo_warn_set_conversation_v1
00000000000102d0,sudo_rcstr_dup
0000000000006c60,initprogname2
0000000000007060,sudo_conf_probe_interfaces_v1
0000000000016aa0,sudo_term_cbreak_v1
0000000000015fe0,sudo_freezero
0000000000006650,sudo_warn_set_locale_func_v1
0000000000006ed4,sudo_conf_askpass_path_v1
00000000000080e4,sudo_vfatalx_nodebug_v1
0000000000008fd4,sudo_digest_alloc_v1
00000000000179e0,sudo_str2sig
0000000000009420,sudo_digest_final_v1
0000000000008120,sudo_warn_nodebug_v1
00000000000106b0,sudo_regex_compile_v1
0000000000007244,sudo_debug_fork_v1
0000000000007080,sudo_debug_parse_flags_v1
0000000000016010,sudo_pw_dup
0000000000014670,sudo_debug_exit_mode_t_v1
0000000000006f14,sudo_conf_intercept_path_v1
00000000000077d0,sudo_debug_get_fds_v1
00000000000144e0,sudo_debug_exit_long_v1
00000000000146c0,sudo_debug_exit_bool_v1
0000000000007684,sudo_debug_get_active_instance_v1
0000000000006500,sudo_fatal_callback_register_v1
00000000000157e0,sudo_gai_warn_nodebug_v1
00000000000103a0,sudo_rcstr_addref
000000000000f8a0,sudo_logfac2str_v1
0000000000007000,sudo_conf_debugging_v1
00000000000071b0,sudo_debug_get_instance_v1
000000000000d440,sudo_json_open_object_v1
0000000000016d00,sudo_term_copy_v1
0000000000014620,sudo_debug_exit_time_t_v1
000000000000a4e4,sudo_ev_base_free_v1
000000000000c750,sudo_hexchar_v1
000000000000f470,sudo_lock_region_v1
00000000000075d0,sudo_debug_needed_v1
0000000000018f00,sudo_mkstemp
00000000000098c0,sudo_ev_base_setdef_v1
0000000000008a60,sudo_debug_deregister_v1
000000000000bfc0,sudo_ev_dispatch_v1
000000000000ba80,sudo_ev_loop_v1
0000000000009350,sudo_digest_getlen_v1
0000000000007040,sudo_conf_disable_coredump_v1
0000000000009250,sudo_digest_getlen_v2
0000000000009110,sudo_digest_free_v1
0000000000015ef0,sudo_uuid_to_string_v1
0000000000007f50,sudo_fatal_nodebug_v1
0000000000011250,sudo_strsplit_v1
0000000000010210,sudo_rcstr_alloc
000000000000a090,sudo_ev_del_v1
0000000000006f34,sudo_conf_noexec_path_v1
0000000000009374,sudo_digest_update_v1
0000000000006f54,sudo_conf_plugin_dir_path_v1
0000000000006890,sudo_lbuf_clearerr_v1
00000000000110e4,sudo_secure_open_dir_v1
000000000000aeb0,sudo_gettime_mono_v1
0000000000018b74,sudo_uuid_create_v1
00000000000119c0,sudo_mkdir_parents_v1
000000000000a8f4,sudo_ev_loopcontinue_v1
00000000000080a0,sudo_vfatal_nodebug_v1
000000000000f980,sudo_str2logpri_v1
0000000000006a00,sudo_mmap_free_v1
00000000000101f0,sudo_parseln_v1
000000000000a9d0,sudo_ev_got_exit_v1
