0000000000015e44,ZSTD_estimateCStreamSize_usingCParams
0000000000056cb0,ZSTD_initDStream_usingDDict
0000000000019cb0,ZSTD_compress
00000000000183c4,ZSTD_getBlockSize
00000000000563d0,ZSTD_DCtx_loadDictionary_byReference
000000000001a680,ZSTD_getDictID_fromCDict
0000000000056090,ZSTD_createDStream
000000000001ebf0,ZSTD_compress_usingCDict_advanced
000000000001a6d0,ZSTD_createCStream_advanced
0000000000021110,ZSTD_flushStream
000000000001f370,ZSTD_defaultCLevel
0000000000019100,ZSTD_compressEnd
000000000001def0,ZSTD_compressStream
000000000001a770,ZSTD_CStreamInSize
0000000000067790,ZDICT_addEntropyTablesFromBuffer
0000000000016bc0,ZSTD_copyCCtx
00000000000541a0,ZSTD_createDDict_byReference
000000000001a1d0,ZSTD_createCDict_advanced
0000000000014960,ZSTD_initStaticCCtx
0000000000018e50,ZSTD_compressBegin
0000000000014b70,ZSTD_CCtxParams_init
00000000000543b0,ZSTD_sizeof_DCtx
0000000000019604,ZSTD_sizeof_CStream
000000000001f650,ZSTD_getParams
0000000000054080,ZSTD_createDDict_advanced
0000000000064b80,ZDICT_finalizeDictionary
0000000000058b34,ZSTD_decompress
0000000000065710,ZDICT_trainFromBuffer_legacy
000000000001e5c0,ZSTD_adjustCParams
0000000000056d20,ZSTD_resetDStream
0000000000055320,ZSTD_findDecompressedSize
0000000000055410,ZSTD_decompressBound
0000000000019b00,ZSTD_createCCtx
0000000000014b20,ZSTD_freeCCtxParams
00000000000554d0,ZSTD_decompressionMargin
0000000000015704,ZSTD_toFlushNow
0000000000017890,ZSTD_writeSkippableFrame
0000000000063b40,ZDICT_getDictHeaderSize
0000000000062a00,ZDICT_optimizeTrainFromBuffer_cover
0000000000054404,ZSTD_estimateDCtxSize
0000000000021070,ZSTD_compressStream2_simpleArgs
0000000000056d70,ZSTD_sizeof_DStream
00000000000541d0,ZSTD_estimateDDictSize
0000000000015f14,ZSTD_estimateCStreamSize
000000000001b520,ZSTD_CCtx_setFParams
00000000000211b0,ZSTD_endStream
0000000000063ae0,ZDICT_getDictID
0000000000055684,ZSTD_nextSrcSizeToDecompress
00000000000562c0,ZSTD_DStreamOutSize
0000000000007250,ZSTD_freeThreadPool
000000000001b5c0,ZSTD_initCStream_usingDict
000000000001f330,ZSTD_maxCLevel
0000000000019784,ZSTD_freeCCtx
0000000000014d64,ZSTD_createCCtxParams
00000000000544d0,ZSTD_createDCtx_advanced
0000000000019bd4,ZSTD_CCtx_refPrefix_advanced
0000000000064da4,ZDICT_trainFromBuffer_cover
00000000000562e0,ZSTD_DCtx_loadDictionary_advanced
0000000000015190,ZSTD_CCtx_getParameter
000000000001ab74,ZSTD_CCtxParams_setParameter
000000000001a790,ZSTD_CStreamOutSize
0000000000055cc0,ZSTD_decompressBegin
0000000000015d00,ZSTD_estimateCStreamSize_usingCCtxParams
0000000000007510,ZSTD_versionString
0000000000055104,ZSTD_readSkippableFrame
0000000000007210,ZSTD_createThreadPool
0000000000019270,ZSTD_compressCCtx
0000000000054870,ZSTD_isFrame
0000000000018400,ZSTD_compressBlock
0000000000015be0,ZSTD_estimateCCtxSize
0000000000065134,ZDICT_trainFromBuffer_fastCover
0000000000015280,ZSTD_CCtx_refThreadPool
0000000000019990,ZSTD_CCtx_loadDictionary_byReference
00000000000158b0,ZSTD_sequenceBound
0000000000019b40,ZSTD_CCtx_refCDict
0000000000054850,ZSTD_copyDCtx
00000000000566e0,ZSTD_dParam_getBounds
000000000001ed90,ZSTD_compressSequences
0000000000015a30,ZSTD_estimateCCtxSize_usingCCtxParams
0000000000054424,ZSTD_initStaticDCtx
000000000001a750,ZSTD_freeCStream
000000000001b6f0,ZSTD_initCStream
0000000000056410,ZSTD_DCtx_refPrefix_advanced
0000000000007530,ZSTD_isError
00000000000548d0,ZSTD_isSkippableFrame
0000000000007550,ZSTD_getErrorName
000000000001f350,ZSTD_minCLevel
000000000001e3e0,ZSTD_compress_advanced
0000000000056460,ZSTD_DCtx_refPrefix
0000000000053f30,ZSTD_initStaticDDict
0000000000056010,ZSTD_getDictID_fromFrame
0000000000056e20,ZSTD_estimateDStreamSize_fromFrame
0000000000053ff4,ZSTD_freeDDict
0000000000015240,ZSTD_CCtx_setPledgedSrcSize
0000000000054920,ZSTD_frameHeaderSize
00000000000545d0,ZSTD_createDCtx
0000000000019120,ZSTD_compress_usingDict
0000000000019294,ZSTD_estimateCDictSize_advanced
0000000000056dd0,ZSTD_estimateDStreamSize
00000000000563f0,ZSTD_DCtx_loadDictionary
000000000001a3c0,ZSTD_createCDict_byReference
0000000000058a50,ZSTD_decompress_usingDict
00000000000556f0,ZSTD_decompressContinue
0000000000019c94,ZSTD_CCtx_refPrefix
00000000000151b0,ZSTD_CCtx_setParametersUsingCCtxParams
0000000000055ea0,ZSTD_decompressBegin_usingDDict
00000000000568f0,ZSTD_DCtx_setParameter
0000000000055000,ZSTD_getFrameContentSize
0000000000063c30,ZDICT_trainFromBuffer
000000000001e4d0,ZSTD_initCStream_advanced
0000000000056af0,ZSTD_DCtx_setFormat
000000000001f6f4,ZSTD_CCtxParams_registerSequenceProducer
000000000001b650,ZSTD_initCStream_srcSize
00000000000155b0,ZSTD_getFrameProgression
0000000000019310,ZSTD_estimateCDictSize
0000000000054170,ZSTD_createDDict
0000000000056790,ZSTD_DCtx_setMaxWindowSize
00000000000549a0,ZSTD_getFrameHeader_advanced
0000000000056b10,ZSTD_DCtx_reset
0000000000063aa0,ZDICT_isError
00000000000556a0,ZSTD_nextInputType
0000000000062970,ZSTD_decompressBlock
00000000000562a0,ZSTD_DStreamInSize
00000000000183a4,ZSTD_compressContinue
00000000000546a0,ZSTD_freeDCtx
000000000001eb64,ZSTD_compress_usingCDict
0000000000054fe4,ZSTD_getFrameHeader
000000000001a900,ZSTD_cParam_getBounds
0000000000014df0,ZSTD_CCtxParams_getParameter
0000000000058a70,ZSTD_decompress_usingDDict
0000000000007590,ZSTD_getErrorString
000000000001e800,ZSTD_generateSequences
0000000000056280,ZSTD_freeDStream
0000000000056c44,ZSTD_initDStream
000000000001a4a4,ZSTD_initStaticCDict
0000000000019620,ZSTD_freeCDict
000000000001f550,ZSTD_getCParams
0000000000058c50,ZSTD_decompressStream
000000000001a6b0,ZSTD_initStaticCStream
0000000000063cb4,ZSTD_decompressStream_simpleArgs
0000000000054200,ZSTD_sizeof_DDict
0000000000055da0,ZSTD_decompressBegin_usingDict
000000000001a8b0,ZSTD_initCStream_usingCDict
000000000001f720,ZSTD_registerSequenceProducer
000000000001df94,ZSTD_checkCParams
0000000000058a94,ZSTD_decompressDCtx
0000000000063ac0,ZDICT_getErrorName
0000000000063170,ZDICT_optimizeTrainFromBuffer_fastCover
000000000001a2d4,ZSTD_createCDict
000000000001e0e0,ZSTD_CCtxParams_init_advanced
0000000000056480,ZSTD_DCtx_refDDict
0000000000018e30,ZSTD_compressBegin_usingDict
00000000000193f4,ZSTD_sizeof_CCtx
0000000000014dd0,ZSTD_CCtxParams_reset
000000000001e160,ZSTD_CCtx_setCParams
000000000001eb40,ZSTD_compressBegin_usingCDict
000000000001ca64,ZSTD_compressStream2
0000000000056d90,ZSTD_decodingBufferSize_min
0000000000056180,ZSTD_createDStream_advanced
0000000000055630,ZSTD_insertBlock
0000000000054250,ZSTD_getDictID_fromDDict
00000000000199d0,ZSTD_CCtx_reset
00000000000552b4,ZSTD_findFrameCompressedSize
000000000001e260,ZSTD_CCtx_setParams
0000000000015b10,ZSTD_estimateCCtxSize_usingCParams
000000000001eb20,ZSTD_compressBegin_usingCDict_advanced
0000000000021290,ZSTD_compress2
00000000000193b0,ZSTD_sizeof_CDict
0000000000019a60,ZSTD_createCCtx_advanced
00000000000074f0,ZSTD_versionNumber
0000000000056810,ZSTD_DCtx_getParameter
00000000000199b0,ZSTD_CCtx_loadDictionary
0000000000016e00,ZSTD_mergeBlockDelimiters
000000000001a710,ZSTD_createCStream
0000000000056160,ZSTD_initStaticDStream
00000000000198a0,ZSTD_CCtx_loadDictionary_advanced
000000000001b420,ZSTD_CCtx_setParameter
0000000000055fb0,ZSTD_getDictID_fromDict
000000000001e304,ZSTD_compressBegin_advanced
0000000000019e44,ZSTD_createCDict_advanced2
0000000000056bc0,ZSTD_initDStream_usingDict
000000000001a810,ZSTD_initCStream_usingCDict_advanced
000000000001a7b4,ZSTD_resetCStream
0000000000014900,ZSTD_compressBound
0000000000055290,ZSTD_getDecompressedSize
0000000000007570,ZSTD_getErrorCode
