000000000004c6a0,getmatch
0000000000059800,lexinit
000000000006c340,hrealloc
000000000008d5e0,useeprog
0000000000019b48,printqt
00000000000a4860,quotesubst
00000000000858e0,export_param
00000000000bbb20,zarrdup
00000000000aed20,arrlen
0000000000080ec8,savehistsizegetfn
000000000007de80,copyparamtable
00000000000af1c0,setblock_stdin
00000000000ae2e0,zdeleteterm
0000000000081c68,startparamscope
000000000008ebe8,dupeprog
0000000000019540,main
0000000000051e20,unlockhistfile
00000000000b9f60,setcbreak
0000000000080cc0,arrgetfn
00000000000bab20,zexpandtabs
0000000000060e30,maybeshrinkjobtab
00000000000ae328,nicechar_sel
0000000000080d60,intvarsetfn
0000000000069e08,countlinknodes
0000000000080d20,nullunsetfn
0000000000070530,selectlist
000000000008bb00,par_event
000000000004cfa0,disablehashnode
0000000000083bec,getsparam
000000000007aba0,bin_zmodload
000000000004e204,printshfuncexpand
00000000000698a0,enables_zshQsmain
0000000000081220,nullsethashfn
00000000000a464c,bicat
00000000000bdc80,quotedzputs
0000000000080d80,arrvargetfn
0000000000075b68,execfor
0000000000085c60,unsetparam
0000000000025e20,bin_false
0000000000060280,shingetline
000000000006cca0,zshlex_raw_add
00000000000590c0,saveandpophiststack
0000000000092ad0,ecgetlist
000000000008486c,keyboardhacksetfn
0000000000069d80,freelinklist
00000000000ba080,unmetafy
00000000000ae260,zsetupterm
00000000000698c0,boot_zshQsmain
00000000000a3c48,dupstrpfx
00000000000b0020,addtimedfn
000000000005be00,init_term
0000000000041f10,execsave
0000000000079350,createparam
0000000000019808,cd_able_vars
0000000000030d30,evalcond
00000000000764c0,mathevalarg
0000000000077e20,createoptiontable
00000000000994e0,output_highlight
00000000000b35c8,read_poll
0000000000084044,getintvalue
000000000006a8ec,old_heaps
00000000000b0b00,getredirs
0000000000026e80,bin_unset
00000000000bb7c8,arrdup
0000000000099ce0,patallocstr
000000000004e464,hist_in_word
000000000005ebe0,stuff
000000000005c620,addfilelist
00000000000ba460,mb_metacharlenconv_r
0000000000077780,printoptionlist
000000000008b150,parse_cond
0000000000030a20,cond_val
000000000009f310,pattrylen
000000000009c780,zhandler
00000000000b4d20,finddir
000000000001c510,bin_cd
0000000000098ec4,clearpatterndisables
0000000000080480,createparamtable
000000000006d260,register_module
0000000000053360,casemodify
000000000006ab40,addwrapper
0000000000087a80,setarrvalue
000000000008d9a4,patcompstart
000000000005ac00,ctxtlex
00000000000ba120,metalen
000000000006dca4,parsestrnoerr
00000000000b9e50,makecommaspecial
0000000000062e20,printjob
00000000000776d0,optlookupc
0000000000081924,setrawseconds
000000000004f6e8,addhistnode
000000000005832c,hend
0000000000050908,hgetline
00000000000ae5f0,zwcwidth
0000000000059064,strinend
000000000008978c,assignstrvalue
00000000000ae090,putshout
00000000000a23e0,removetrap
000000000009ea2c,pattryrefs
00000000000b3fa4,write_loop
00000000000b0184,zjoin
0000000000077d24,add_dep
0000000000043884,getfpfunc
0000000000069b20,zshlex_raw_back_to_mark
00000000000846e0,usernamegetfn
0000000000026720,bin_unhash
00000000000a31b0,endtrapscope
00000000000667e0,bin_kill
00000000000323e0,zcontext_save
000000000005ed00,sourcehome
00000000000854a0,homesetfn
000000000005b180,loop
00000000000a4a40,equalsubstr
00000000000629c4,bin_suspend
00000000000b4384,pathprog
00000000000b2dc0,zerrmsg
000000000008aa40,setiparam_no_convert
000000000004c7a0,getmatcharr
0000000000035580,findcmd
00000000000851e0,lcsetfn
0000000000080d08,nullintsetfn
0000000000084f6c,lc_allsetfn
00000000000baac0,mb_charlenconv
00000000000bcd00,metafy
00000000000ba040,gettygrp
0000000000026568,zsetlimit
000000000008daac,pattern_range_to_string
0000000000059c80,shinbufreset
00000000000810ac,stdunsetfn
0000000000061668,freejob
000000000009982c,holdintr
00000000000ae640,adduserdir
00000000000b9eb0,makebangspecial
000000000006a980,new_heaps
0000000000089f40,assigniparam
0000000000080ef0,savehistsizesetfn
0000000000086348,arrsetfn
0000000000060ac8,zleentry
000000000009c380,dotrap
000000000004ffa0,createhisttable
00000000000ae20c,has_token
000000000001a7a0,bin_enable
00000000000ae060,putraw
00000000000b2b50,getjobtext
0000000000078148,getfeatureenables
000000000006afb0,runhookdef
00000000000598b0,init_signals
000000000008da00,range_type
000000000003ea90,execode
000000000005d640,deletefilelist
0000000000019be0,eval_autoload
0000000000050c40,remlpaths
0000000000059d20,noop_function_int
000000000001dc40,bin_fc
00000000000b0440,sepjoin
00000000000aec20,ztrncpy
00000000000aff50,addprepromptfn
0000000000065080,bin_fg
0000000000081a80,zgetenv
0000000000025fe8,bin_times
0000000000078248,autofeatures
000000000008642c,arrvarsetfn
000000000005ad4c,initlextabs
000000000007c4cc,ensurefeature
00000000000413ec,sticky_emulation_differs
000000000004e960,movehistent
0000000000032140,cond_match
00000000000b4bc0,findpwd
0000000000069f00,linknodebystring
000000000005fda0,init_bltinmods
00000000000b3b44,zstrtol_underscore
0000000000098a00,patmatchrange
0000000000094aa0,freeeprog
000000000007cbe8,dosetopt
00000000000ba4a0,mb_metacharlenconv
0000000000052350,pushhiststack
00000000000464e4,matchpat
000000000001ae90,bin_set
00000000000499ec,xpandredir
0000000000052f4c,dircache_set
0000000000098dac,savepatterndisables
0000000000081e90,init_parse_status
0000000000069c20,getlinknode
000000000004e628,histreduceblanks
0000000000082724,convfloat_underscore
00000000000ae184,zoutputtab
